Time,Query,ClientIP,Count,Suspicious
2026-03-16T17:33:23.734581,suspicious1.com,192.168.41.61,20,True
2026-03-11T15:33:23.734581,legit39.com,192.168.39.112,17,False
2026-03-16T11:33:23.734581,phish-site.cc,192.168.46.69,16,True
2026-03-13T17:33:23.734581,legit48.com,192.168.13.209,24,False
2026-03-13T17:33:23.734581,botnet2.xyz,192.168.15.176,13,True
2026-03-15T13:33:23.734581,legit18.com,192.168.25.127,19,False
2026-03-14T14:33:23.734581,c2server.net,192.168.34.165,1,True
2026-03-10T12:33:23.734581,legit10.com,192.168.17.138,8,False
2026-03-15T00:33:23.734581,dynamic-dns.org,192.168.41.247,23,True
2026-03-10T18:33:23.734581,legit48.com,192.168.11.119,13,False
2026-03-10T16:33:23.734581,dynamic-dns.org,192.168.43.19,20,True
2026-03-13T17:33:23.734581,legit48.com,192.168.23.196,15,False
2026-03-10T13:33:23.734581,suspicious1.com,192.168.16.244,6,True
2026-03-13T03:33:23.734581,legit25.com,192.168.13.131,4,False
2026-03-16T21:33:23.734581,evil.com.ru,192.168.23.237,25,True
2026-03-17T10:33:23.734581,legit27.com,192.168.23.244,6,False
2026-03-13T03:33:23.734581,evil.com.ru,192.168.11.237,11,True
2026-03-11T15:33:23.734581,legit16.com,192.168.41.125,20,False
2026-03-12T15:33:23.734581,c2server.net,192.168.19.250,2,True
2026-03-15T19:33:23.734581,legit32.com,192.168.36.192,11,False
2026-03-17T06:33:23.734581,evil.com.ru,192.168.32.12,19,True
2026-03-14T15:33:23.734581,legit25.com,192.168.32.142,24,False
2026-03-13T19:33:23.734581,c2server.net,192.168.13.255,6,True
2026-03-15T09:33:23.734581,legit7.com,192.168.13.74,13,False
2026-03-14T01:33:23.734581,dynamic-dns.org,192.168.27.64,18,True
2026-03-15T08:33:23.734581,legit37.com,192.168.43.127,23,False
2026-03-16T07:33:23.734581,c2server.net,192.168.48.53,7,True
2026-03-12T07:33:23.734581,legit15.com,192.168.19.71,3,False
2026-03-10T13:33:23.734581,c2server.net,192.168.35.217,9,True
2026-03-16T07:33:23.734581,legit27.com,192.168.28.60,4,False
2026-03-13T12:33:23.734581,malware1.ru,192.168.16.117,6,True
2026-03-11T01:33:23.734581,legit45.com,192.168.27.239,15,False
2026-03-11T00:33:23.734581,evil.com.ru,192.168.14.196,14,True
2026-03-12T02:33:23.734581,legit33.com,192.168.38.36,15,False
2026-03-13T09:33:23.734581,suspicious1.com,192.168.46.25,25,True
2026-03-17T00:33:23.734581,legit27.com,192.168.37.103,20,False
2026-03-13T06:33:23.734581,tmp.ddns.net,192.168.23.27,7,True
2026-03-15T09:33:23.734581,legit35.com,192.168.35.141,4,False
2026-03-12T15:33:23.734581,dynamic-dns.org,192.168.40.211,22,True
2026-03-15T21:33:23.734581,legit24.com,192.168.46.9,12,False
2026-03-12T16:33:23.734581,dynamic-dns.org,192.168.17.103,3,True
2026-03-14T03:33:23.734581,legit47.com,192.168.14.254,10,False
2026-03-16T22:33:23.734581,botnet2.xyz,192.168.11.70,5,True
2026-03-17T09:33:23.734581,legit25.com,192.168.11.129,6,False
2026-03-17T01:33:23.734581,botnet2.xyz,192.168.47.56,17,True
2026-03-10T11:33:23.734581,legit32.com,192.168.40.63,1,False
2026-03-12T13:33:23.734581,tmp.ddns.net,192.168.22.201,16,True
2026-03-12T07:33:23.734581,legit15.com,192.168.34.26,5,False
2026-03-12T07:33:23.734581,suspicious1.com,192.168.27.183,5,True
2026-03-10T11:33:23.734581,legit7.com,192.168.12.188,1,False
2026-03-15T03:33:23.734581,malware1.ru,192.168.42.94,16,True
2026-03-12T03:33:23.734581,legit14.com,192.168.12.179,24,False
2026-03-15T22:33:23.734581,c2server.net,192.168.17.166,6,True
2026-03-12T05:33:23.734581,legit37.com,192.168.44.244,25,False
2026-03-14T19:33:23.734581,suspicious1.com,192.168.43.104,21,True
2026-03-10T17:33:23.734581,legit28.com,192.168.49.167,19,False
2026-03-16T03:33:23.734581,tmp.ddns.net,192.168.37.225,11,True
2026-03-16T06:33:23.734581,legit29.com,192.168.15.220,25,False
2026-03-14T00:33:23.734581,x123.randomdomain.ru,192.168.40.37,6,True
2026-03-13T04:33:23.734581,legit42.com,192.168.44.197,15,False
2026-03-12T01:33:23.734581,tmp.ddns.net,192.168.42.85,16,True
2026-03-10T11:33:23.734581,legit7.com,192.168.41.248,23,False
2026-03-16T17:33:23.734581,botnet2.xyz,192.168.10.113,13,True
2026-03-16T14:33:23.734581,legit10.com,192.168.17.219,20,False
2026-03-11T17:33:23.734581,botnet2.xyz,192.168.12.64,1,True
2026-03-16T03:33:23.734581,legit31.com,192.168.22.225,5,False
2026-03-11T07:33:23.734581,c2server.net,192.168.38.253,12,True
2026-03-16T14:33:23.734581,legit32.com,192.168.16.205,13,False
2026-03-12T17:33:23.734581,malware1.ru,192.168.25.64,24,True
2026-03-12T21:33:23.734581,legit19.com,192.168.44.248,18,False
