Time,EventID,Description,Computer,Account,SourceIP
2026-03-14 22:33:23.734581,4625,Failed login (brute-force),DC04,user99@corp.net,192.168.27.98
2026-03-14 08:33:23.734581,1102,Security log cleared,DC01,user87@domain.local,192.168.35.59
2026-03-12 18:33:23.734581,4625,Failed login (brute-force),DC04,user56@domain.local,192.168.13.181
2026-03-17 02:33:23.734581,4625,Failed login (brute-force),DC05,user1@corp.net,192.168.11.206
2026-03-14 21:33:23.734581,4672,Privilege escalation,DC02,user10@domain.local,192.168.37.254
2026-03-16 16:33:23.734581,4719,Audit policy change,DC03,user47@corp.net,192.168.17.56
2026-03-17 07:33:23.734581,4719,Audit policy change,DC01,user38@domain.local,192.168.17.20
2026-03-14 16:33:23.734581,4625,Failed login (brute-force),DC02,user100@domain.local,192.168.23.87
2026-03-17 01:33:23.734581,4672,Privilege escalation,DC05,user43@corp.net,192.168.33.15
2026-03-16 12:33:23.734581,4624,Suspicious login,DC02,user46@domain.local,192.168.37.177
2026-03-15 13:33:23.734581,4624,Suspicious login,DC01,user95@domain.local,192.168.46.32
2026-03-17 06:33:23.734581,4672,Privilege escalation,DC05,user85@corp.net,192.168.44.145
2026-03-13 19:33:23.734581,4625,Failed login (brute-force),DC03,user47@corp.net,192.168.44.117
2026-03-11 00:33:23.734581,4673,Privileged service call,DC02,user21@domain.local,192.168.19.204
2026-03-10 11:33:23.734581,4625,Failed login (brute-force),DC02,user30@domain.local,192.168.43.33
2026-03-12 10:33:23.734581,4673,Privileged service call,DC04,user81@domain.local,192.168.38.217
2026-03-11 00:33:23.734581,4624,Suspicious login,DC04,user77@domain.local,192.168.43.93
2026-03-14 12:33:23.734581,4719,Audit policy change,DC02,user53@corp.net,192.168.20.82
2026-03-16 03:33:23.734581,4672,Privilege escalation,DC01,user75@corp.net,192.168.15.168
2026-03-14 20:33:23.734581,4719,Audit policy change,DC04,user92@corp.net,192.168.14.44
2026-03-10 11:33:23.734581,4672,Privilege escalation,DC05,user51@domain.local,192.168.35.216
2026-03-17 02:33:23.734581,4624,Suspicious login,DC02,user81@domain.local,192.168.37.214
2026-03-16 11:33:23.734581,4672,Privilege escalation,DC01,user91@domain.local,192.168.47.58
2026-03-11 12:33:23.734581,4672,Privilege escalation,DC02,user57@domain.local,192.168.19.177
2026-03-13 21:33:23.734581,4719,Audit policy change,DC04,user64@corp.net,192.168.48.81
2026-03-11 02:33:23.734581,4672,Privilege escalation,DC02,user59@corp.net,192.168.43.2
2026-03-16 11:33:23.734581,4624,Suspicious login,DC05,user23@corp.net,192.168.41.172
2026-03-17 04:33:23.734581,4625,Failed login (brute-force),DC01,user59@corp.net,192.168.43.98
2026-03-11 23:33:23.734581,4719,Audit policy change,DC03,user28@domain.local,192.168.10.170
2026-03-15 12:33:23.734581,4719,Audit policy change,DC01,user70@domain.local,192.168.25.180
2026-03-15 15:33:23.734581,4648,RunAs explicit credentials,DC05,user29@corp.net,192.168.16.37
2026-03-17 09:33:23.734581,5145,Network share access,DC01,user96@domain.local,192.168.49.96
2026-03-14 15:33:23.734581,4768,Kerberos TGT request,DC01,user7@domain.local,192.168.43.133
2026-03-14 16:33:23.734581,4672,Privilege escalation,DC04,user36@corp.net,192.168.42.192
2026-03-12 20:33:23.734581,4624,Suspicious login,DC01,user92@corp.net,192.168.11.231
2026-03-10 10:33:23.734581,4648,RunAs explicit credentials,DC05,user53@domain.local,192.168.32.142
2026-03-11 17:33:23.734581,4624,Suspicious login,DC02,user44@corp.net,192.168.15.192
2026-03-11 14:33:23.734581,4625,Failed login (brute-force),DC04,user52@domain.local,192.168.43.61
2026-03-17 09:33:23.734581,4672,Privilege escalation,DC01,user21@corp.net,192.168.26.44
2026-03-13 21:33:23.734581,4768,Kerberos TGT request,DC02,user38@corp.net,192.168.13.26
